,* 단위: 명,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,연도,대륙,국가명,동포여부,총계,학위과정,,,,,,,,,,,,,,,,,,"공동운영
교육과정",연수과정,,,,
1,,,,,,대학·전문대학,,,,,,석사과정,,,,,,박사과정,,,,,,,,,,,
2,,,,,,계,인문사회,공학,자연,의학,예체능,계,인문사회,공학,자연,의학,예체능,계,인문사회,공학,자연,의학,예체능,,계,어학연수생,교환연수생,방문연수생,기타연수생
74,2020,아시아,마카오, ,55,31,18,3,0,0,10,8,7,0,0,0,1,0,0,0,0,0,0,0,16,12,4,0,0
75,2020,아시아,대만,재외동포,52,50,31,4,8,0,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76,2020,유럽,루마니아, ,52,10,7,1,1,0,1,14,11,2,0,1,0,4,3,0,1,0,0,0,24,7,17,0,0
77,2020,아시아,요르단, ,50,11,4,6,1,0,0,19,11,7,0,1,0,10,1,8,1,0,0,0,10,9,1,0,0
78,2020,유럽,헝가리, ,50,5,5,0,0,0,0,9,8,1,0,0,0,5,3,1,1,0,0,0,31,8,23,0,0
79,2020,오세아니아,뉴질랜드, ,48,25,16,7,0,1,1,14,9,0,0,2,3,4,0,2,1,1,0,0,5,4,1,0,0
80,2020,남아메리카,칠레, ,46,9,3,2,0,0,4,10,7,2,0,1,0,1,0,0,1,0,0,0,26,14,12,0,0
81,2020,유럽,리투아니아, ,46,4,3,0,1,0,0,5,4,0,1,0,0,1,0,1,0,0,0,14,22,3,19,0,0
82,2020,유럽,불가리아, ,45,11,7,2,0,0,2,17,14,1,1,0,1,4,3,1,0,0,0,0,13,7,6,0,0
83,2020,아프리카,알제리, ,44,8,5,1,2,0,0,16,11,4,0,1,0,9,1,4,3,0,1,0,11,7,4,0,0
84,2020,아프리카,수단, ,43,13,5,4,3,0,1,18,12,2,1,3,0,6,0,4,1,1,0,0,6,5,1,0,0
85,2020,유럽,포르투갈, ,43,6,6,0,0,0,0,4,2,0,0,1,1,5,1,2,2,0,0,0,28,6,21,0,1
86,2020,아프리카,콩고민주공화국, ,41,17,10,7,0,0,0,12,7,4,1,0,0,8,2,3,3,0,0,0,4,4,0,0,0
87,2020,아프리카,말리, ,40,29,15,6,0,0,8,10,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0
88,2020,아시아,이라크, ,38,8,3,3,1,0,1,16,8,5,2,1,0,7,0,7,0,0,0,0,7,7,0,0,0
89,2020,아프리카,남아프리카공화국, ,38,13,8,0,4,0,1,19,16,1,0,1,1,4,1,2,0,0,1,0,2,2,0,0,0
90,2020,아시아,동티모르, ,36,11,5,5,1,0,0,18,9,7,2,0,0,1,0,1,0,0,0,0,6,5,1,0,0
91,2020,남아메리카,파라과이, ,33,18,10,3,4,0,1,6,5,0,0,0,1,1,0,0,1,0,0,0,8,8,0,0,0
92,2020,아프리카,코트디부아르, ,33,14,11,2,0,0,1,5,3,1,0,0,1,3,2,0,1,0,0,0,11,7,3,0,1
93,2020,아프리카,잠비아, ,33,13,1,10,1,0,1,11,7,2,2,0,0,6,2,1,3,0,0,0,3,3,0,0,0
94,2020,오세아니아,오스트레일리아,재외동포,32,21,14,1,2,1,3,7,5,1,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0
95,2020,아시아,카자흐스탄,재외동포,31,13,10,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,16,15,1,0,0
96,2020,아프리카,라이베리아, ,31,7,7,0,0,0,0,20,16,1,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0
97,2020,남아메리카,베네수엘라, ,30,15,8,3,2,0,2,7,2,3,2,0,0,2,0,1,0,1,0,0,6,4,2,0,0
98,2020,아프리카,가봉, ,29,10,7,1,1,0,1,6,3,1,2,0,0,3,0,1,2,0,0,0,10,10,0,0,0
99,2020,아프리카,세네갈, ,29,6,4,2,0,0,0,13,12,0,1,0,0,2,1,1,0,0,0,0,8,4,4,0,0
100,2020,아프리카,튀니지, ,29,5,5,0,0,0,0,10,5,3,1,1,0,7,2,3,2,0,0,0,7,6,1,0,0
101,2020,유럽,아일랜드, ,29,0,0,0,0,0,0,5,5,0,0,0,0,3,1,1,1,0,0,0,21,5,16,0,0
102,2020,아시아,예멘, ,27,11,3,6,1,0,1,3,2,0,1,0,0,6,2,4,0,0,0,0,7,7,0,0,0
103,2020,남아메리카,도미니카 공화국, ,26,5,2,1,2,0,0,9,4,3,0,0,2,3,0,2,1,0,0,0,9,9,0,0,0
104,2020,아프리카,부룬디, ,26,8,6,2,0,0,0,10,6,3,1,0,0,6,5,1,0,0,0,0,2,2,0,0,0
105,2020,아프리카,짐바브웨, ,26,1,0,1,0,0,0,20,16,3,0,0,1,3,2,1,0,0,0,0,2,2,0,0,0
106,2020,남아메리카,엘살바도르, ,25,10,5,3,2,0,0,8,4,1,1,2,0,0,0,0,0,0,0,0,7,5,2,0,0
107,2020,아시아,이스라엘, ,25,2,1,0,1,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,17,13,4,0,0
108,2020,남아메리카,아르헨티나, ,24,5,5,0,0,0,0,5,4,0,1,0,0,1,0,1,0,0,0,0,13,7,6,0,0
109,2020,아시아,일본,재외동포,24,17,11,0,2,0,4,3,2,0,1,0,0,3,3,0,0,0,0,0,1,1,0,0,0
110,2020,아프리카,기니, ,24,7,5,1,1,0,0,12,8,1,0,0,3,1,0,1,0,0,0,0,4,4,0,0,0
111,2020,아프리카,모잠비크, ,22,4,0,4,0,0,0,12,6,4,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0
112,2020,남아메리카,파나마, ,21,7,1,5,0,0,1,8,6,1,0,0,1,1,0,1,0,0,0,0,5,5,0,0,0
113,2020,아프리카,콩고, ,21,8,5,1,1,0,1,9,8,1,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0
114,2020,오세아니아,뉴질랜드,재외동포,21,11,5,2,1,1,2,7,6,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0
115,2020,남아메리카,과테말라, ,20,7,5,0,0,0,2,7,4,2,1,0,0,1,1,0,0,0,0,0,5,5,0,0,0
116,2020,아시아,조지아, ,20,1,1,0,0,0,0,6,5,1,0,0,0,2,1,0,1,0,0,0,11,8,3,0,0
117,2020,아프리카,리비아, ,20,5,4,0,1,0,0,7,1,4,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0
118,2020,유럽,에스토니아, ,20,3,2,0,1,0,0,5,3,1,0,0,1,0,0,0,0,0,0,0,12,3,9,0,0
119,2020,남아메리카,볼리비아, ,19,9,3,5,1,0,0,5,3,1,1,0,0,2,0,2,0,0,0,0,3,3,0,0,0
120,2020,아시아,대한민국, ,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
121,2020,아프리카,말라위, ,19,0,0,0,0,0,0,16,14,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
122,2020,아프리카,앙골라, ,17,11,8,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
123,2020,남아메리카,코스타리카, ,16,5,4,1,0,0,0,5,3,2,0,0,0,1,0,1,0,0,0,0,5,5,0,0,0
124,2020,아시아,부탄, ,16,8,5,3,0,0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,4,4,0,0,0
125,2020,아시아,쿠웨이트, ,16,13,0,13,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,2020,아프리카,마다가스카르, ,16,4,3,0,0,0,1,4,1,2,1,0,0,2,0,1,0,0,1,0,6,4,2,0,0
127,2020,유럽,슬로바키아, ,16,2,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,12,3,9,0,0
128,2020,유럽,슬로베니아, ,16,5,2,2,0,0,1,3,3,0,0,0,0,1,1,0,0,0,0,0,7,0,6,0,1
129,2020,아시아,브루나이, ,15,1,1,0,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,10,0,10,0,0
130,2020,아시아,팔레스타인, ,15,3,3,0,0,0,0,4,3,0,1,0,0,5,0,3,2,0,0,0,3,2,1,0,0
131,2020,아프리카,감비아, ,15,2,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
132,2020,유럽,몰도바, ,15,1,1,0,0,0,0,6,6,0,0,0,0,1,1,0,0,0,0,0,7,3,4,0,0
